Porosity (%)	Depth (m)
11.0128388	2336.813149
11.24108417	2313.923212
11.0128388	2296.698535
11.0128388	2268.04524
11.58345221	2273.857649
11.69757489	2302.527294
12.15406562	2331.245989
11.81169757	2342.658257
11.58345221	2354.086875
11.58345221	2382.740171
11.69757489	2399.948498
12.03994294	2399.997548
12.61055635	2405.809956
13.29529244	2405.908056
13.92296719	2405.997981
14.20827389	2394.577538
14.7788873	2388.928628
15.4636234	2400.488046
15.69186876	2400.520746
16.14835949	2400.586146
16.37660485	2400.618846
16.83309558	2372.03095
17.17546362	2349.157364
17.51783167	2349.206414
18.08844508	2297.712233
18.54493581	2294.912303
18.88730385	2292.096023
19.2296719	2297.875732
19.2296719	2297.875732
19.68616262	2297.941132
20.14265335	2298.006532
20.14265335	2275.083896
19.80028531	2269.304187
19.00142653	2257.728419
18.65905849	2257.679369
19.34379458	2263.508128
18.31669044	2257.630319
17.74607703	2286.201865
16.94721826	2286.087415
16.7189729	2286.054715
17.28958631	2291.867124
16.14835949	2285.972965
15.69186876	2285.907566
15.23537803	2280.111507
14.55064194	2274.282748
14.09415121	2274.217348
13.63766049	2274.151948
13.18116976	2274.086548
12.95292439	2279.784508
12.49643367	2291.180426
12.38231098	2308.356053
12.72467903	2325.59708
13.18116976	2314.201162
13.75178317	2297.090934
14.09415121	2302.870643
14.43651926	2302.919693
15.00713267	2314.462761
15.23537803	2331.687438
15.57774608	2331.736488
16.0342368	2308.879251
16.26248217	2320.373269
16.83309558	2320.455019
17.17546362	2326.234728
16.60485021	2343.344955
16.0342368	2343.263206
16.14835949	2366.202192
15.4636234	2371.834751
15.12125535	2354.593724
14.7788873	2331.622038
14.43651926	2325.842329
13.75178317	2325.744229
13.63766049	2331.458539
14.32239658	2348.748615
14.43651926	2365.956942
14.09415121	2371.638552
13.5235378	2365.826143
13.29529244	2354.332125
12.83880171	2342.805407
12.38231098	2359.931984
12.03994294	2377.074911
12.38231098	2377.123961
13.06704708	2382.95272
13.63766049	2383.03447
14.7788873	2285.776766
15.4636234	2194.184321
15.69186876	2194.217021
15.92011412	2205.711039
16.26248217	2205.760089
16.7189729	2205.825489
17.28958631	2194.44592
17.9743224	2194.54402
17.63195435	2194.49497
18.54493581	2194.62577
19.00142653	2194.69117
19.34379458	2183.278902
18.43081312	2183.148102
19.68616262	2177.597292
16.7189729	2188.633512
16.0342368	2177.074094
15.12125535	2136.828681
15.57774608	2125.432763
16.14835949	2136.975831
16.60485021	2125.579912
17.06134094	2137.10663
17.51783167	2137.17203
18.08844508	2125.792462
18.20256776	2143.000789
18.54493581	2143.049839
18.77318117	2131.621221
19.2296719	2125.955961
19.57203994	2137.466329
19.91440799	2131.78472
20.37089872	2131.85012
20.71326676	2131.89917
10.21398003	1729.248842
10.32810271	1757.918487
10.55634807	1763.681846
10.89871612	1780.922873
11.0128388	1792.400541
11.35520685	1786.718932
11.24108417	1769.510605
11.24108417	1752.318628
11.0128388	1740.82461
